Date_YMD,Daily_Confirmed,Total_Confirmed,Daily_Recovered,Total_Recovered,Daily_Deceased,Total_Deceased
09-08-2021,27428,31996805,41461,31173216,376,428125
10-08-2021,38376,32035181,40097,31213313,496,428621
11-08-2021,41586,32076767,39127,31252440,491,429112
12-08-2021,40081,32116848,42156,31294596,583,429695
13-08-2021,38761,32155609,35759,31330355,477,430172
14-08-2021,36135,32191744,37936,31368291,491,430663
15-08-2021,33245,32224989,35936,31404227,421,431084
16-08-2021,24696,32249685,36871,31441098,438,431522
17-08-2021,35208,32284893,37143,31478241,440,431962
18-08-2021,36502,32321395,39269,31517510,527,432489
19-08-2021,36600,32357995,36457,31553967,543,433032
20-08-2021,34308,32392303,36285,31590252,376,433408
21-08-2021,31023,32423326,38577,31628829,401,433809
22-08-2021,25420,32448746,44103,31672932,385,434194
23-08-2021,24794,32473540,39553,31712485,357,434551
24-08-2021,37739,32511279,34148,31746633,650,435201
25-08-2021,46129,32557408,34248,31780881,605,435806
26-08-2021,44550,32601958,32925,31813806,493,436299
27-08-2021,46806,32648764,31343,31845149,514,436813
28-08-2021,45064,32693828,35811,31880960,457,437270
29-08-2021,43374,32737202,34843,31915803,527,437797
30-08-2021,30248,32767450,36240,31952043,205,438002
31-08-2021,43073,32810523,34112,31986155,462,438464
01-09-2021,45975,32856498,35091,32021246,507,438971
02-09-2021,45624,32902122,34665,32055911,355,439326
03-09-2021,42667,32944789,36422,32092333,342,439668
04-09-2021,42607,32987396,38087,32130420,309,439977
05-09-2021,39537,33026933,43922,32174342,218,440195
06-09-2021,30164,33057097,42946,32217288,290,440485
07-09-2021,38135,33095232,39101,32256389,368,440853
08-09-2021,43401,33138633,40620,32297009,339,441192
09-09-2021,24151,33162784,24397,32321406,258,441450
10-09-2021,37875,33200659,36671,32358077,310,441760
11-09-2021,31288,33231947,37886,32395963,338,442098
12-09-2021,31441,33263388,40699,32436662,219,442317
13-09-2021,24414,33287802,39815,32476477,340,442657
14-09-2021,27502,33315304,37993,32514470,281,442938
15-09-2021,30355,33345659,38353,32552823,432,443370
16-09-2021,34653,33380312,37888,32590711,318,443688
17-09-2021,35354,33415666,33833,32624544,285,443973
18-09-2021,31130,33446796,39652,32664196,306,444279
19-09-2021,30828,33477624,43217,32707413,296,444575
20-09-2021,24907,33502531,34470,32741883,251,444826
21-09-2021,27338,33529869,34160,32776043,385,445211
22-09-2021,32010,33561879,31997,32808040,280,445491
23-09-2021,31411,33593290,32510,32840550,318,445809
24-09-2021,29565,33622855,28049,32868599,291,446100
25-09-2021,28169,33651024,26021,32894620,259,446359
26-09-2021,26999,33678023,29625,32924245,276,446635
27-09-2021,14907,33692930,24251,32948496,181,446816
28-09-2021,21898,33714828,29944,32978440,375,447191
29-09-2021,23166,33737994,28726,33007166,313,447504
30-09-2021,27285,33765279,28204,33035370,278,447782
01-10-2021,23918,33789197,25460,33060830,233,448015
02-10-2021,23189,33812386,25938,33086768,242,448257
03-10-2021,21644,33834030,26724,33113492,182,448439
04-10-2021,17101,33851131,29645,33143137,263,448702
05-10-2021,19044,33870175,24761,33167898,276,448978
06-10-2021,22605,33892780,24610,33192508,316,449294
07-10-2021,21474,33914254,24959,33217467,277,449571
08-10-2021,19868,33934122,23066,33240533,247,449818
09-10-2021,17941,33952063,23612,33264145,213,450031
10-10-2021,19020,33971083,21583,33285728,193,450224
11-10-2021,13184,33984267,26573,33312301,177,450401
12-10-2021,16023,34000290,22846,33335147,229,450630
13-10-2021,19193,34019483,19811,33354958,249,450879
14-10-2021,16988,34036471,19370,33374328,378,451257
15-10-2021,16003,34052474,17868,33392196,163,451420
16-10-2021,14078,34066552,19786,33411982,146,451566
17-10-2021,14286,34080838,19579,33431561,165,451731
18-10-2021,12339,34093177,19460,33451021,164,451895
19-10-2021,14935,34108112,19445,33470466,199,452094
20-10-2021,18382,34126494,17568,33488034,160,452254
21-10-2021,15774,34142268,18642,33506676,232,452486
22-10-2021,16327,34158595,17636,33524312,666,453152
23-10-2021,16079,34174674,16509,33540821,559,453711
24-10-2021,14654,34189328,18608,33559429,442,454153
25-10-2021,11852,34201180,16102,33575531,357,454510
26-10-2021,13499,34214679,14012,33589543,584,455094
27-10-2021,16351,34231030,17077,33606620,734,455828
28-10-2021,14307,34245337,13189,33619809,805,456633
29-10-2021,14215,34259552,13549,33633358,551,457184
30-10-2021,12940,34272492,14672,33648030,445,457629
31-10-2021,12907,34285399,13152,33661182,251,457880
